"SWINTON HOUSE",,,,,,,,,,,,
Grid ref,NT818470,Long,-2.291254,Lat,55.716082,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.85,2.40,,,
February,,,,,,,,1.33,2.14,,,
March,,,,,,,,1.44,1.64,,,
April,,,,,,,,1.68,3.30,,,
May,,,,,,,,3.19,3.19,,,
June,,,,,,,,4.25,1.65,,,
July,,,,,,,,1.27,1.77,,,
August,,,,,,,,1.88,3.29,,,
September,,,,,,,0.40,0.71,1.33,,,
October,,,,,,,7.20,6.11,3.59,,,
November,,,,,,,3.08,2.03,2.97,,,
December,,,,,,,4.01,3.10,2.80,,,
Total,,,,,,,,27.84,30.07,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,14.69,27.84,30.07,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,,
