"COLLOONEY MARKREE OBSERVATORY",,,,,,,,,,,,
Grid ref,IG7010025200,Long,-8.458681,Lat,54.175037,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.77,3.81,3.83,5.34,4.63,3.41,5.92,3.07,4.44,4.97,,
February,3.43,2.00,2.09,5.19,4.47,3.96,4.20,3.28,4.81,2.17,,
March,0.96,-999.00,3.04,6.84,2.46,5.34,3.72,4.82,5.33,2.63,,
April,2.97,3.38,2.90,2.27,3.49,1.96,3.01,3.12,2.92,3.70,,
May,3.75,2.43,3.13,2.31,2.64,1.53,3.59,4.24,3.62,2.08,,
June,5.24,3.58,1.85,0.70,1.85,1.83,2.38,5.50,3.19,1.85,,
July,1.54,1.81,2.71,5.19,4.53,1.59,2.22,2.88,2.47,3.13,,
August,4.52,4.29,2.55,7.58,6.05,5.34,4.59,4.02,3.84,2.50,,
September,2.64,5.16,2.93,4.70,2.91,2.33,2.09,1.76,7.37,3.45,,
October,5.35,4.81,3.12,6.81,2.68,3.53,4.78,5.01,1.30,6.82,,
November,4.90,4.39,5.15,3.82,5.39,4.70,2.82,2.89,2.99,3.00,,
December,5.19,5.56,5.06,3.22,3.76,3.46,5.25,4.59,4.98,4.42,,
Total,45.26,44.87,38.36,53.97,44.86,38.98,44.57,45.18,47.26,40.72,,
Calc annual,45.26,41.22,38.36,53.97,44.86,38.98,44.57,45.18,47.26,40.72,,
Difference,0.00,3.65,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
