"NEWTON ABBOT TUPLINS",,,,,,,,,,,,
Grid ref,SX875710,Long,-3.588557,Lat,50.527930,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.15,3.75,5.26,1.61,,,,,,
February,,,1.86,2.03,6.56,0.98,,,,,,
March,,4.37,2.07,4.42,2.58,5.45,,,,,,
April,,4.21,1.99,1.69,1.11,2.92,,,,,,
May,,1.29,1.50,2.32,2.08,0.77,,,,,,
June,,1.46,3.05,1.88,1.05,3.06,,,,,,
July,,2.74,2.29,4.03,4.79,0.84,,,,,,
August,,1.05,2.25,3.63,3.02,3.57,,,,,,
September,,4.21,2.89,3.60,2.62,1.84,,,,,,
October,,1.74,3.29,7.31,2.14,1.44,,,,,,
November,,0.57,4.96,1.33,1.91,5.06,,,,,,
December,,6.90,2.39,5.26,3.01,1.02,,,,,,
Total,,,29.69,41.25,36.13,28.56,,,,,,
Calc annual,0.00,28.54,29.69,41.25,36.13,28.56,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
