"BALDERSDALE BLACKTON RESERVOIR",,,,,,,,,,,,
Grid ref,NY940184,Long,-2.094296,Lat,54.560798,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.30,2.80,,
February,,,,,,,,,3.95,3.80,,
March,,,,,,,,,5.30,4.30,,
April,,,,,,,,,3.20,3.20,,
May,,,,,,,,,3.15,1.50,,
June,,,,,,,,,1.70,3.00,,
July,,,,,,,,,3.00,2.60,,
August,,,,,,,,,3.70,3.10,,
September,,,,,,,,,4.40,2.60,,
October,,,,,,,,,2.80,4.00,,
November,,,,,,,,,3.10,1.80,,
December,,,,,,,,,1.70,5.30,,
Total,,,,,,,,,38.30,38.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.30,38.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
