"ST HELENS ECCLESTON HILL",,,,,,,,,,,,
Grid ref,SJ488941,Long,-2.772253,Lat,53.441172,,,,,,,
Station no,2821,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.29,2.13,3.00,2.36,2.55,1.05,4.02,1.19,1.96,0.69,,
February,2.65,1.34,1.10,1.97,3.17,1.52,2.61,1.00,2.83,0.96,,
March,1.00,1.56,2.03,2.11,1.25,3.16,2.02,2.32,2.59,2.70,,
April,1.53,2.14,1.96,1.86,1.36,2.46,1.48,0.98,2.51,1.82,,
May,1.36,0.78,3.82,3.21,1.92,0.59,2.60,3.35,2.85,2.23,,
June,2.36,1.50,1.50,1.79,1.96,2.05,2.12,5.74,1.65,2.22,,
July,0.93,1.40,1.75,4.16,0.76,1.91,1.22,4.01,4.14,4.75,,
August,5.67,2.78,2.51,4.43,4.28,3.33,3.27,3.83,3.46,2.95,,
September,0.83,0.91,1.18,4.68,2.56,1.71,2.45,0.72,3.68,2.88,,
October,3.66,3.38,3.39,7.70,1.86,3.43,5.79,3.52,2.31,4.66,,
November,3.31,3.36,1.94,3.60,1.28,3.64,2.13,3.26,3.12,1.64,,
December,2.96,3.75,2.26,1.47,2.27,0.50,3.57,2.93,1.36,6.39,,
Total,30.55,25.03,26.44,39.34,25.22,25.35,33.28,32.85,32.46,33.89,,
Calc annual,30.55,25.03,26.44,39.34,25.22,25.35,33.28,32.85,32.46,33.89,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
