"BALLYNURE BALLYBOLEY",,,,,,,,,,,,
Grid ref,IJ3159496202,Long,-5.954411,Lat,54.796581,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.00,3.75,3.00,3.66,1.00,,,,,,,
February,4.25,2.85,3.00,3.10,3.20,,,,,,,
March,1.45,4.20,1.70,4.60,1.85,,,,,,,
April,2.40,6.80,1.85,2.17,1.85,,,,,,,
May,3.45,1.75,4.82,2.06,3.75,,,,,,,
June,4.58,0.75,1.75,1.20,0.75,,,,,,,
July,3.25,0.70,2.70,2.00,3.75,,,,,,,
August,4.70,3.90,3.92,2.10,6.20,,,,,,,
September,2.02,3.03,4.60,3.20,2.00,,,,,,,
October,4.80,3.25,2.50,3.30,1.70,,,,,,,
November,5.35,5.10,4.20,2.30,4.25,,,,,,,
December,5.30,4.54,3.70,6.50,3.00,,,,,,,
Total,46.55,40.62,37.74,36.19,33.30,,,,,,,
Calc annual,46.55,40.62,37.74,36.19,33.30,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
