"CHATTERIS HORSEWAY LOCK",,,,,,,,,,,,
Grid ref,TL435868,Long,0.110660,Lat,52.460299,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.93,0.31,0.35,1.48,0.72,,,,,,,
February,2.31,0.50,0.60,0.25,1.46,,,,,,,
March,0.41,1.03,0.65,1.39,0.59,,,,,,,
April,0.52,1.43,0.67,1.30,0.33,,,,,,,
May,0.76,0.70,2.48,1.96,1.70,,,,,,,
June,1.08,1.07,2.20,1.85,0.28,,,,,,,
July,1.25,0.98,1.41,3.38,2.01,,,,,,,
August,1.27,1.25,1.74,1.87,1.35,,,,,,,
September,0.35,0.69,1.00,1.94,1.19,,,,,,,
October,1.17,1.30,0.99,3.91,0.70,,,,,,,
November,1.26,0.55,0.80,1.38,,,,,,,,
December,1.16,2.05,0.36,0.43,,,,,,,,
Total,13.47,11.86,13.25,21.14,,,,,,,,
Calc annual,13.47,11.86,13.25,21.14,10.33,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
