"HADLEIGH POLSTEAD RECTORY",,,,,,,,,,,,
Grid ref,TL988372,Long,0.894475,Lat,51.997643,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.18,,3.32,,,,,
February,,,,,2.13,,2.03,,,,,
March,,,,,1.46,,1.70,,,,,
April,,,,,0.81,,0.91,,,,,
May,,,,,1.76,,1.20,,,,,
June,,,,,1.25,,2.11,,,,,
July,,,,,2.15,,0.84,,,,,
August,,,,,1.02,,0.82,,,,,
September,,,,,1.30,,1.49,,,,,
October,,,,,0.88,,3.51,,,,,
November,,,,,1.13,,3.32,,,,,
December,,,,,1.43,,1.91,,,,,
Total,,,,,17.50,,23.16,,,,,
Calc annual,0.00,0.00,0.00,0.00,17.50,0.00,23.16,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,0.00,NaN,NaN,NaN,,
