"SLOUGH UPTON",,,,,,,,,,,,
Grid ref,SU976792,Long,-0.595218,Lat,51.503318,,,,,,,
Station no,994,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.11,1.03,0.79,2.31,2.54,0.85,3.76,0.84,1.82,0.76,,
February,4.18,1.47,1.09,1.00,2.65,0.73,1.82,1.51,1.08,0.30,,
March,0.83,1.55,1.72,2.68,1.22,3.50,1.37,0.92,2.90,2.84,,
April,0.59,1.82,0.81,2.08,1.00,1.81,0.50,2.98,3.04,2.08,,
May,1.64,0.51,2.44,2.54,3.06,0.94,3.12,1.50,1.53,1.17,,
June,2.04,0.98,3.57,6.07,0.99,3.93,2.77,1.94,1.26,3.08,,
July,0.52,0.81,1.14,3.38,3.35,0.40,0.33,1.51,2.36,2.99,,
August,2.92,1.86,3.03,3.28,2.08,2.27,0.99,1.70,2.35,2.01,,
September,0.57,1.23,0.85,2.13,1.40,1.33,1.25,0.60,2.18,2.63,,
October,1.93,1.81,1.47,6.44,1.36,1.17,4.39,4.85,2.36,4.18,,
November,1.81,0.40,2.05,1.73,1.59,2.50,3.06,2.18,0.88,0.65,,
December,2.84,3.40,1.38,2.22,2.14,0.87,2.77,3.41,2.31,2.58,,
Total,22.98,16.87,20.34,35.86,23.38,20.30,26.13,23.94,24.07,25.27,,
Calc annual,22.98,16.87,20.34,35.86,23.38,20.30,26.13,23.94,24.07,25.27,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
