"TONBRIDGE SOMERHILL ESTATE OFFICE",,,,,,,,,,,,
Grid ref,TQ608451,Long,0.299312,Lat,51.182519,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.00,1.28,1.83,,,
February,,,,,,,2.10,1.44,1.38,,,
March,,,,,,,1.65,1.02,2.78,,,
April,,,,,,,1.44,2.78,2.42,,,
May,,,,,,,1.61,2.10,1.50,,,
June,,,,,,,2.51,2.42,2.54,,,
July,,,,,,,0.62,1.38,,,,
August,,,,,,,0.73,2.50,,,,
September,,,,,,,1.06,0.48,,,,
October,,,,,,,4.16,4.65,,,,
November,,,,,,,5.59,2.16,,,,
December,,,,,,,2.03,2.89,,,,
Total,,,,,,,27.50,25.10,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.50,25.10,12.45,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
