"GREENFIELD ASHWAY MOSS",,,,,,,,,,,,
Grid ref,SE030049,Long,-1.956202,Lat,53.540737,,,,,,,
Station no,3097,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.20,2.20,,
February,,,,,,,,,3.90,2.10,,
March,,,,,,,,,3.00,3.50,,
April,,,,,,,,,2.30,3.90,,
May,,,,,,,,,3.00,1.70,,
June,,,,,,,,,1.90,2.60,,
July,,,,,,,,,5.10,5.10,,
August,,,,,,,,,3.20,3.30,,
September,,,,,,,,,3.50,2.00,,
October,,,,,,,,,2.40,3.70,,
November,,,,,,,,,2.50,0.80,,
December,,,,,,,,,3.10,8.50,,
Total,43.10,,27.00,-999.00,35.00,,,37.20,37.10,39.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.10,39.40,,
Difference,43.10,NaN,27.00,-999.00,35.00,NaN,NaN,37.20,0.00,-0.00,,
