"GLENCARRON LODGE",,,,,,,,,,,,
Grid ref,NH063510,Long,-5.235018,Lat,57.507640,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,12.84,5.97,12.42,14.01,10.67,13.39,15.62,13.11,10.44,8.92,,
February,2.31,4.41,2.25,13.54,4.34,10.71,6.36,10.02,10.31,5.89,,
March,2.66,6.38,12.35,11.45,3.05,8.36,9.46,11.69,6.20,2.35,,
April,9.48,4.62,3.30,7.14,13.29,4.45,7.26,4.70,5.05,4.84,,
May,3.25,1.60,6.13,4.31,5.74,4.85,5.95,3.92,3.84,4.87,,
June,3.31,4.89,2.01,3.90,5.97,2.33,2.71,7.03,6.03,1.46,,
July,5.64,4.07,4.57,6.81,2.38,5.96,8.51,4.19,2.16,6.21,,
August,7.32,8.54,5.62,12.31,9.27,8.01,6.48,9.10,5.33,6.68,,
September,8.70,3.92,7.63,5.39,7.92,11.12,5.30,3.01,11.06,3.38,,
October,10.37,8.92,10.34,13.43,7.07,8.77,8.78,3.85,1.96,10.82,,
November,5.56,9.33,3.40,11.69,9.12,7.85,11.38,7.11,9.27,9.38,,
December,16.91,10.57,12.43,4.37,10.73,9.33,13.72,8.52,8.37,6.21,,
Total,88.35,73.22,82.45,108.35,89.55,95.13,101.53,86.25,80.02,71.01,,
Calc annual,88.35,73.22,82.45,108.35,89.55,95.13,101.53,86.25,80.02,71.01,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
