"TOTNES, NORTHGATE HOUSE",,,,,,,,,,,,
Grid ref,SX800605,Long,-3.690950,Lat,50.432053,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.54,1.97,,
February,,,,,,,,,2.22,0.50,,
March,,,,,,,,,4.28,6.78,,
April,,,,,,,,,3.19,2.47,,
May,,,,,,,,,2.45,1.17,,
June,,,,,,,,,0.72,3.80,,
July,,,,,,,,,2.28,3.01,,
August,,,,,,,,,5.19,2.20,,
September,,,,,,,,,2.45,1.86,,
October,,,,,,,,,2.55,9.29,,
November,,,,,,,,,1.41,1.12,,
December,,,,,,,,,6.08,8.23,,
Total,,,,,,,,,35.36,42.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.36,42.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
