"WEALDSTONE SEWAGE DISPOSAL WORKS",,,,,,,,,,,,
Grid ref,TQ163892,Long,-0.322609,Lat,51.589659,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.86,2.34,2.88,1.26,4.12,0.86,1.86,0.81,,
February,,,1.20,0.84,2.47,0.98,2.15,1.31,1.55,0.39,,
March,,,1.74,2.54,1.67,3.58,1.20,1.00,3.34,2.92,,
April,,,0.67,1.79,0.99,1.85,0.57,3.74,2.71,1.71,,
May,,,2.16,2.40,2.18,1.07,1.51,1.56,1.77,1.49,,
June,,,3.86,5.04,0.82,3.08,2.83,2.03,1.69,3.88,,
July,,,1.09,3.69,2.38,1.86,1.71,1.81,3.63,3.59,,
August,,,3.68,3.99,1.82,2.77,0.95,1.83,2.98,2.06,,
September,,,0.90,3.28,1.41,1.36,1.79,0.88,1.66,2.82,,
October,,,1.44,6.46,1.31,1.31,3.88,4.28,2.38,4.35,,
November,,,1.86,1.81,1.58,2.98,4.15,2.48,0.84,0.81,,
December,,,1.43,1.95,2.12,0.94,2.61,3.46,2.28,2.91,,
Total,,,20.89,36.13,21.63,23.04,27.47,25.24,26.69,27.74,,
Calc annual,0.00,0.00,20.89,36.13,21.63,23.04,27.47,25.24,26.69,27.74,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
