"PENRITH NANDANA",,,,,,,,,,,,
Grid ref,NY523310,Long,-2.741157,Lat,54.671799,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.69,0.22,1.32,3.80,3.68,1.07,4.79,1.05,2.48,,,
February,3.99,0.96,1.12,5.58,2.86,2.04,2.59,1.98,4.47,,,
March,0.70,1.92,1.93,5.20,1.93,2.51,2.50,2.97,3.39,,,
April,2.33,2.21,2.04,1.40,2.08,3.35,0.97,2.18,2.02,,,
May,1.76,1.44,2.74,3.12,2.49,0.42,5.23,4.45,2.60,,,
June,3.56,1.57,1.78,1.46,1.52,1.41,1.06,4.50,1.69,,,
July,2.18,1.69,3.28,3.87,1.17,0.90,1.58,1.59,3.36,,,
August,5.53,3.18,1.63,4.13,3.26,2.79,4.67,3.20,3.54,,,
September,1.71,1.03,1.43,4.33,0.72,2.39,1.29,0.45,2.69,,,
October,5.32,2.66,2.74,9.79,1.23,2.33,6.04,4.98,1.51,,,
November,2.43,2.72,2.55,2.42,2.43,3.21,3.56,2.91,2.43,,,
December,4.04,4.33,3.79,2.55,2.89,1.17,2.74,5.59,2.12,,,
Total,37.24,23.93,26.35,47.65,26.26,23.60,37.02,35.85,32.30,,,
Calc annual,37.24,23.93,26.35,47.65,26.26,23.59,37.02,35.85,32.30,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,NaN,,
