"ATHLONE THE MOORINGS",,,,,,,,,,,,
Grid ref,IN0471542051,Long,-7.929796,Lat,53.428762,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.09,3.25,2.65,4.50,3.10,1.65,4.42,,,,,
February,2.25,1.15,2.10,3.20,4.70,1.25,2.32,,,,,
March,0.51,4.40,2.20,4.80,2.65,4.25,1.75,,,,,
April,2.25,1.45,2.80,1.40,1.70,0.25,1.35,,,,,
May,2.80,1.92,2.20,1.56,2.45,1.27,3.20,,,,,
June,4.15,3.30,1.70,1.75,1.30,2.45,1.87,,,,,
July,2.95,1.40,2.22,3.90,3.60,0.82,2.68,,,,,
August,5.85,2.20,2.00,5.70,4.05,5.40,3.25,,,,,
September,1.65,5.20,2.10,3.55,3.10,0.60,1.15,,,,,
October,6.30,3.20,1.70,3.80,2.40,-999.00,4.45,,,,,
November,4.40,3.85,4.40,2.20,2.30,2.62,1.30,,,,,
December,3.80,3.20,2.80,2.30,2.30,1.75,2.25,,,,,
Total,40.00,34.52,28.87,38.66,33.65,23.56,29.99,,,,,
Calc annual,40.00,34.52,28.87,38.66,33.65,22.31,29.99,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,1.25,0.00,NaN,NaN,NaN,,
