"BUCKLESHAM SCHOOL",,,,,,,,,,,,
Grid ref,TM250418,Long,1.278510,Lat,52.028945,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.16,1.43,0.80,,,
February,,,,,,,1.75,0.70,0.16,,,
March,,,,,,,1.10,0.80,1.59,,,
April,,,,,,,0.30,2.85,,,,
May,,,,,,,0.96,1.90,,,,
June,,,,,,,2.68,2.57,,,,
July,,,,,,,0.66,3.00,,,,
August,,,,,,,0.42,1.88,,,,
September,,,,,,,0.44,0.58,,,,
October,,,,,,,2.44,3.13,,,,
November,,,,,,,3.45,1.78,,,,
December,,,,,,,0.74,1.93,,,,
Total,,,,,,,18.10,22.55,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,18.10,22.55,2.55,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
