"KINROSS HOUSE",,,,,,,,,,,,
Grid ref,NO126020,Long,-3.410341,Lat,56.202545,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.01,2.14,4.28,3.46,,
February,,,,,,,2.53,2.90,2.11,1.11,,
March,,,,,,,3.00,3.29,4.44,4.42,,
April,,,,,,,1.34,1.72,1.20,3.90,,
May,,,,,,,5.49,4.11,2.63,3.48,,
June,,,,,,,1.39,4.34,1.90,1.56,,
July,,,,,,,1.84,2.03,3.29,5.75,,
August,,,,,,,5.60,4.22,1.88,2.77,,
September,,,,,,,1.65,2.00,8.13,2.06,,
October,,,,,,,5.03,6.63,2.07,5.46,,
November,,,,,,,4.66,3.04,2.60,1.83,,
December,,,,,,,1.38,4.33,1.51,5.29,,
Total,,,,,,,38.92,40.75,36.04,41.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,38.92,40.75,36.04,41.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
