"YARMOUTH SAILORS HOME",,,,,,,,,,,,
Grid ref,TG530072,Long,1.734935,Lat,52.603620,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.58,0.76,1.14,1.26,1.58,0.89,3.71,1.49,0.83,0.91,,
February,3.15,1.69,0.50,0.23,3.00,1.35,2.64,1.61,1.93,0.85,,
March,1.15,2.38,1.41,1.65,1.44,1.47,1.71,1.27,2.46,2.50,,
April,0.78,2.06,1.48,2.24,0.92,1.74,0.58,2.15,2.61,1.28,,
May,1.55,1.12,3.13,1.88,2.26,1.24,2.05,2.78,1.85,1.27,,
June,2.81,1.73,1.86,1.88,0.65,2.90,1.90,1.48,0.97,2.25,,
July,1.80,0.71,2.26,2.92,1.42,0.59,0.30,1.37,2.53,2.56,,
August,3.72,0.75,4.44,3.64,3.07,3.84,3.70,0.97,2.83,1.56,,
September,0.76,0.83,0.94,2.96,1.18,1.90,1.31,0.28,1.88,1.85,,
October,2.19,2.01,1.14,3.66,1.15,4.18,2.92,2.92,1.44,3.87,,
November,1.65,2.32,1.70,1.62,2.00,1.49,3.68,2.70,1.63,1.25,,
December,2.60,4.83,1.43,1.18,2.36,1.00,3.45,2.85,1.56,4.01,,
Total,24.74,21.19,21.43,25.12,21.03,22.59,27.95,21.87,22.52,24.16,,
Calc annual,24.74,21.19,21.43,25.12,21.03,22.59,27.95,21.87,22.52,24.16,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
