"LUNEDALE LUNEHEAD",,,,,,,,,,,,
Grid ref,NY850201,Long,-2.233557,Lat,54.575886,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,4.20,,
February,,,,,,,,,,5.70,,
March,,,,,,,,,,4.80,,
April,,,,,,,,,3.50,4.80,,
May,,,,,,,,,6.00,1.60,,
June,,,,,,,,,3.20,4.40,,
July,,,,,,,,,4.60,6.50,,
August,,,,,,,,,4.30,4.10,,
September,,,,,,,,,8.70,4.20,,
October,,,,,,,,,3.80,6.40,,
November,,,,,,,,,4.80,1.20,,
December,,,,,,,,,3.50,8.60,,
Total,,,,,,,,,55.54,56.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.40,56.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.14,-0.00,,
