"CRAIGTON",,,,,,,,,,,,
Grid ref,NO512382,Long,-2.795006,Lat,56.533270,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.01,2.04,0.93,3.89,1.68,0.34,2.08,1.27,2.20,1.31,,
February,3.41,1.66,1.61,3.63,5.23,0.63,0.76,1.01,0.49,0.95,,
March,2.00,1.65,1.28,2.68,1.97,3.32,1.32,1.75,3.78,4.46,,
April,1.53,2.25,2.40,1.25,1.69,2.13,1.16,2.30,0.65,3.54,,
May,2.24,2.37,2.63,1.73,2.68,1.81,5.57,4.52,2.04,3.51,,
June,2.02,2.22,1.83,2.33,0.76,1.10,2.03,5.93,0.89,0.78,,
July,4.71,0.92,3.18,5.76,0.87,1.55,0.83,2.54,2.55,3.53,,
August,5.02,5.13,3.22,4.46,6.50,4.94,5.64,3.81,1.97,2.30,,
September,3.36,1.52,1.59,3.09,3.17,1.97,1.33,1.61,6.50,1.54,,
October,2.88,2.62,1.72,6.30,1.16,1.70,4.31,5.59,3.60,3.73,,
November,5.61,1.90,3.57,0.55,0.78,6.14,4.74,2.44,1.89,0.37,,
December,3.94,3.56,2.99,2.61,1.94,1.48,1.81,4.08,2.94,3.50,,
Total,40.73,27.84,26.95,38.28,28.43,27.11,31.58,36.85,29.50,29.52,,
Calc annual,40.73,27.84,26.95,38.28,28.43,27.11,31.58,36.85,29.50,29.52,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
