"MORETONHAMPSTEAD CHRISTOW LAPLOYD NO 2",,,,,,,,,,,,
Grid ref,SX798849,Long,-3.701643,Lat,50.651344,,,,,,,
Station no,1752,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.02,,
February,,,,,,,,,,0.58,,
March,,,,,,,,,,7.55,,
April,,,,,,,,,,2.92,,
May,,,,,,,,,,1.11,,
June,,,,,,,,,,3.85,,
July,,,,,,,,,,2.29,,
August,,,,,,,,,,1.85,,
September,,,,,,,,,,2.14,,
October,,,,,,,,,,8.90,,
November,,,,,,,,,,1.33,,
December,,,,,,,,,,7.04,,
Total,,,,,,,,,,41.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
