"LEYBURN BOLTON HALL",,,,,,,,,,,,
Grid ref,SE075897,Long,-1.886250,Lat,54.302854,,,,,,,
Station no,3423,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.52,2.22,1.08,4.73,2.60,0.89,4.30,1.48,2.40,2.31,,
February,5.94,1.22,1.27,4.14,3.34,1.96,2.06,2.23,2.83,1.30,,
March,1.04,3.76,1.42,5.54,2.12,2.67,2.17,2.65,5.25,5.28,,
April,1.62,2.35,1.59,0.86,2.71,2.94,0.38,1.25,3.01,2.39,,
May,1.68,0.80,2.91,4.78,3.85,0.12,4.60,4.35,2.13,1.44,,
June,2.59,1.41,1.40,1.76,1.42,1.23,1.04,3.26,1.36,2.72,,
July,1.66,3.61,2.25,2.49,1.68,0.66,1.07,2.40,3.66,2.38,,
August,6.00,1.67,1.97,2.35,2.80,3.89,4.37,1.65,2.41,3.43,,
September,0.49,1.29,1.12,3.61,0.67,2.20,0.32,0.36,3.31,2.38,,
October,5.74,1.97,3.31,8.98,0.51,1.81,5.64,7.00,1.98,3.15,,
November,3.58,5.95,2.50,1.48,2.20,5.54,3.65,2.25,2.00,1.17,,
December,3.34,5.17,3.53,2.48,1.82,0.83,2.99,4.15,1.45,5.18,,
Total,37.20,31.42,24.35,43.20,25.72,24.74,32.59,33.03,31.79,33.13,,
Calc annual,37.20,31.42,24.35,43.20,25.72,24.74,32.59,33.03,31.79,33.13,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
