"BALLINGARRY, HAZELFORT",,,,,,,,,,,,
Grid ref,IR4139036135,Long,-8.863349,Lat,52.473799,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.55,2.26,2.76,4.57,3.61,,,,,,,
February,2.34,1.58,1.86,3.35,4.10,,,,,,,
March,0.57,1.98,2.40,5.33,2.54,,,,,,,
April,2.00,2.21,2.07,1.56,1.95,,,,,,,
May,2.12,1.83,2.69,1.71,3.26,,,,,,,
June,3.89,2.94,1.60,2.05,1.49,,,,,,,
July,1.85,1.17,2.33,4.69,3.37,,,,,,,
August,7.48,3.05,3.10,4.59,3.58,,,,,,,
September,1.31,4.36,2.19,3.00,2.25,,,,,,,
October,4.40,2.40,1.76,4.27,2.26,,,,,,,
November,4.15,3.79,4.76,2.64,2.29,,,,,,,
December,3.90,3.03,2.77,3.07,2.14,,,,,,,
Total,38.56,30.60,30.29,40.83,32.84,,,,,,,
Calc annual,38.56,30.60,30.29,40.83,32.84,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
