"SKIBBEREEN RECTORY",,,,,,,,,,,,
Grid ref,IW0743330902,Long,-9.334583,Lat,51.523500,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.57,2.70,,
February,,,,,,,,,2.31,3.65,,
March,,,,,,,,,5.48,4.27,,
April,,,,,,,,,3.17,9.63,,
May,,,,,,,,,2.64,1.99,,
June,,,,,,,,,1.42,1.93,,
July,,,,,,,,,3.97,2.76,,
August,,,,,,,,,4.18,0.30,,
September,,,,,,,,,4.51,0.88,,
October,,,,,,,,,3.45,9.22,,
November,,,,,,,,,3.69,1.89,,
December,,,,,,,,,6.13,6.43,,
Total,,,,,,,,,45.52,45.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.52,45.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
