"BLAIR ATHOLL",,,,,,,,,,,,
Grid ref,NN872652,Long,-3.846914,Lat,56.764696,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.98,2.81,2.07,5.82,3.39,1.37,4.68,2.46,2.50,4.48,,
February,2.07,1.07,0.91,5.91,2.58,2.29,3.31,3.47,2.54,0.57,,
March,0.90,2.16,1.66,7.02,1.67,4.76,2.22,2.20,3.93,1.65,,
April,2.38,2.03,2.44,1.11,4.01,2.17,1.30,3.31,1.34,3.69,,
May,3.22,1.96,1.54,1.66,1.45,1.55,4.74,2.90,2.09,2.65,,
June,3.03,2.69,1.30,2.25,1.97,2.71,0.58,3.25,1.67,1.21,,
July,2.69,2.04,1.75,3.42,1.77,1.48,2.65,1.66,2.57,2.91,,
August,2.11,3.35,2.24,5.32,4.13,3.43,4.12,4.06,2.73,1.74,,
September,2.90,3.97,2.60,2.98,3.44,2.03,1.79,1.13,3.78,1.39,,
October,3.37,3.79,1.48,6.45,0.91,2.44,5.52,2.75,1.91,6.43,,
November,3.56,1.51,5.05,2.00,1.63,3.80,4.29,2.15,2.95,1.77,,
December,6.03,3.43,4.41,3.03,3.33,2.30,2.54,3.26,3.34,2.33,,
Total,35.24,30.81,27.45,46.97,30.28,30.33,37.74,32.60,31.35,30.82,,
Calc annual,35.24,30.81,27.45,46.97,30.28,30.33,37.74,32.60,31.35,30.82,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
