"BIRMINGHAM THE CRESCENT",,,,,,,,,,,,
Grid ref,SP061869,Long,-1.911612,Lat,52.479992,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,1.57,1.05,2.25,2.74,1.03,3.90,0.88,0.67,0.98,,
February,4.48,1.50,1.58,1.38,3.79,0.60,2.17,1.13,1.14,0.67,,
March,0.67,1.88,1.64,4.72,1.52,3.54,1.19,1.06,2.12,2.97,,
April,0.96,1.93,2.79,1.50,1.10,2.09,1.45,1.90,2.44,1.87,,
May,2.06,1.13,2.71,2.46,2.13,0.23,2.30,3.80,2.60,1.70,,
June,2.45,2.63,2.51,1.75,0.32,2.65,2.70,2.34,3.27,3.46,,
July,2.15,2.24,1.61,2.11,2.44,1.14,1.02,2.88,2.22,3.04,,
August,2.89,2.42,4.96,4.59,1.76,4.40,0.64,2.26,2.54,1.95,,
September,0.78,0.83,1.47,2.67,1.61,0.89,1.13,0.88,1.74,2.72,,
October,3.27,1.97,2.40,6.60,0.43,1.57,4.67,5.31,2.05,3.62,,
November,2.74,1.16,2.22,1.66,1.44,2.78,3.10,2.01,1.92,0.79,,
December,4.77,5.25,1.91,1.80,1.97,0.80,1.88,3.47,2.31,4.94,,
Total,30.86,24.51,26.85,33.49,21.25,21.72,26.15,27.92,25.02,28.71,,
Calc annual,30.86,24.51,26.85,33.49,21.25,21.72,26.15,27.92,25.02,28.71,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
