"BALBRIGGAN ARDGILLAN NO 3",,,,,,,,,,,,
Grid ref,IO2186661181,Long,-6.160250,Lat,53.586528,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.55,2.43,1.49,3.05,0.59,1.85,1.13,,
February,,,,2.25,4.05,0.62,1.35,2.01,1.43,0.44,,
March,,,,3.86,2.07,3.03,1.16,1.96,2.78,3.21,,
April,,,,1.06,1.12,1.61,1.43,2.51,2.10,3.52,,
May,,,,2.58,2.96,1.29,3.00,2.50,2.20,1.41,,
June,,,,1.91,1.24,1.24,2.60,3.47,1.48,1.84,,
July,,,,3.37,2.27,1.05,1.15,1.25,3.04,3.21,,
August,,,,3.48,3.95,6.96,2.95,1.92,2.05,1.01,,
September,,,,3.14,2.82,0.97,0.95,0.68,3.85,1.75,,
October,,,,3.58,0.56,1.08,3.89,4.09,2.57,4.07,,
November,,,,2.71,1.65,4.03,3.01,2.84,1.76,1.09,,
December,,,,2.43,2.07,1.87,2.42,2.58,3.36,4.75,,
Total,,,,33.92,27.19,25.24,26.96,26.40,28.47,27.43,,
Calc annual,0.00,0.00,0.00,33.92,27.19,25.24,26.96,26.40,28.47,27.43,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
