"FETHARD-ON-SEA RECTORY",,,,,,,,,,,,
Grid ref,IS7919104770,Long,-6.842615,Lat,52.189363,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.36,,
February,,,,,,,,,,0.66,,
March,,,,,,,,,,2.92,,
April,,,,,,,,,,4.09,,
May,,,,,,,,,,1.66,,
June,,,,,,,,,,2.40,,
July,,,,,,,,,,3.72,,
August,,,,,,,,,,1.47,,
September,,,,,,,,,,2.53,,
October,,,,,,,,,,5.95,,
November,,,,,,,,,1.73,0.86,,
December,,,,,,,,,4.47,4.81,,
Total,,,,,,,,,,32.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,32.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
