"DOWNE HIGH BRAES",,,,,,,,,,,,
Grid ref,NN712040,Long,-4.078201,Lat,56.211095,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,7.06,,,
February,,,,,,,,,2.99,,,
March,,,,,,,,,2.94,,,
April,,,,,,,,,1.78,,,
May,,,,,,,,,3.31,,,
June,,,,,,,,,2.29,,,
July,,,,,,,,,4.60,,,
August,,,,,,,,,4.34,,,
September,,,,,,,,,8.62,,,
October,,,,,,,,,2.13,,,
November,,,,,,,,,4.05,,,
December,,,,,,,,,5.30,,,
Total,,,,,,,,,49.41,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.41,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
