"ALDERMASTON WHARF",,,,,,,,,,,,
Grid ref,SU603670,Long,-1.134608,Lat,51.398837,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.87,1.47,0.80,3.02,3.27,0.57,4.35,0.71,1.62,0.81,,
February,4.89,1.49,1.29,1.20,2.98,0.57,2.32,1.37,1.15,0.40,,
March,1.20,1.28,1.83,3.59,1.33,4.67,1.59,1.18,3.12,3.33,,
April,1.10,2.68,1.23,2.18,1.20,2.00,0.86,3.28,4.59,1.89,,
May,1.31,0.78,2.17,3.63,3.54,1.27,1.48,2.03,1.51,1.80,,
June,2.02,0.95,3.15,5.20,0.86,5.18,2.68,2.73,0.91,5.08,,
July,0.95,2.04,0.95,2.78,1.64,0.70,0.79,2.15,1.92,2.44,,
August,2.56,1.68,3.08,2.48,2.27,3.21,1.26,1.20,3.22,1.98,,
September,0.56,1.77,1.21,1.99,1.73,1.58,0.83,0.80,2.10,2.89,,
October,2.24,1.39,1.63,7.97,1.65,1.60,5.61,5.61,1.30,4.70,,
November,2.35,0.43,2.25,1.51,1.61,3.22,3.85,2.26,0.93,0.59,,
December,3.93,3.96,1.62,2.25,2.86,0.81,2.36,4.08,2.79,3.42,,
Total,25.98,19.92,21.21,37.80,24.94,25.38,27.98,27.40,25.16,29.33,,
Calc annual,25.98,19.92,21.21,37.80,24.94,25.38,27.98,27.40,25.16,29.33,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
