"COVENTRY PRIORY ROW",,,,,,,,,,,,
Grid ref,SP336790,Long,-1.507501,Lat,52.407979,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.63,1.17,1.20,2.48,2.99,,,,,,,
February,4.32,1.72,1.61,1.18,,,,,,,,
March,0.69,1.86,1.77,4.37,,,,,,,,
April,1.27,2.16,2.41,1.78,,,,,,,,
May,1.73,0.87,2.38,3.64,,,,,,,,
June,3.47,2.67,2.94,3.11,,,,,,,,
July,1.61,2.39,1.36,3.00,,,,,,,,
August,3.12,1.88,3.86,4.23,,,,,,,,
September,0.53,1.32,1.25,2.46,,,,,,,,
October,2.97,1.49,2.55,7.04,,,,,,,,
November,2.15,0.82,1.94,2.03,,,,,,,,
December,5.36,4.34,1.73,1.55,,,,,,,,
Total,30.85,22.69,25.00,36.87,,,,,,,,
Calc annual,30.85,22.69,25.00,36.87,2.99,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
