"LANCASTER GREG OBSERVATORY",,,,,,,,,,,,
Grid ref,SD487612,Long,-2.784920,Lat,54.044204,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.50,1.93,2.78,3.64,4.02,1.95,4.68,1.91,4.26,2.07,,
February,4.51,1.54,1.03,3.27,3.68,1.67,2.77,1.68,2.28,2.65,,
March,0.61,5.07,3.22,3.62,2.84,2.51,2.99,3.89,3.06,3.22,,
April,2.51,2.11,1.88,1.72,3.52,3.16,1.63,1.58,2.54,3.50,,
May,1.99,1.21,3.40,3.00,3.29,1.54,5.31,4.78,3.28,2.10,,
June,2.99,2.00,1.05,1.75,1.34,2.25,2.67,7.78,2.95,1.92,,
July,2.95,1.41,4.56,4.40,1.59,1.65,2.45,2.98,3.31,6.75,,
August,6.09,3.23,3.12,6.47,2.83,4.37,5.32,4.92,6.14,4.62,,
September,1.79,2.08,1.56,5.46,1.92,3.29,1.05,0.84,4.95,2.92,,
October,7.99,5.08,4.13,8.50,3.33,2.59,6.69,5.54,2.23,6.20,,
November,4.15,4.06,2.45,3.50,2.65,4.15,3.50,4.31,4.34,1.98,,
December,8.48,4.17,2.95,3.48,3.08,1.15,3.26,5.34,3.26,8.06,,
Total,48.56,33.89,32.13,48.81,34.09,30.28,42.32,45.55,42.60,45.99,,
Calc annual,48.56,33.89,32.13,48.81,34.09,30.28,42.32,45.55,42.60,45.99,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
