"BUNTINGFORD, HAMELS PARK",,,,,,,,,,,,
Grid ref,TL375245,Long,-0.002830,Lat,51.902083,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.81,0.52,0.72,2.15,2.48,1.34,3.45,1.13,1.16,0.94,,
February,4.42,1.01,0.91,0.91,3.07,1.10,2.08,1.46,1.34,0.49,,
March,0.78,2.15,1.31,2.94,1.39,2.66,1.79,1.10,2.41,3.66,,
April,0.89,2.07,0.70,1.61,0.87,1.78,0.36,2.45,2.71,1.70,,
May,1.13,1.64,2.55,2.13,1.64,1.11,1.20,2.92,1.52,1.23,,
June,2.74,0.66,2.87,5.69,0.81,2.60,2.91,1.58,1.62,4.16,,
July,0.81,3.56,2.63,4.64,4.06,1.93,1.34,2.34,3.31,3.56,,
August,2.73,2.49,2.91,3.82,2.52,4.09,0.57,2.10,3.05,2.81,,
September,1.00,1.52,1.94,2.42,1.28,1.60,1.29,0.57,1.36,2.00,,
October,1.85,1.53,1.50,5.41,1.29,1.26,4.53,3.10,1.36,5.60,,
November,2.39,0.87,1.07,2.08,1.48,2.44,4.39,2.27,1.06,0.94,,
December,2.96,3.22,1.44,1.62,1.98,0.99,2.79,3.02,2.14,3.47,,
Total,24.51,21.24,20.55,35.42,22.87,22.90,26.70,24.04,23.04,30.56,,
Calc annual,24.51,21.24,20.55,35.42,22.87,22.90,26.70,24.04,23.04,30.56,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
