"GLENHEAD OF TROOL",,,,,,,,,,,,
Grid ref,NX432800,Long,-4.458406,Lat,55.089581,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.66,6.33,7.60,11.00,9.00,3.50,7.75,6.50,7.85,6.10,,
February,5.70,3.47,4.90,8.25,6.40,6.70,5.20,3.50,7.40,5.00,,
March,1.76,5.00,5.20,11.00,5.75,8.10,3.68,5.50,7.50,6.00,,
April,2.50,4.84,3.50,2.20,4.00,4.00,3.15,5.00,3.00,5.00,,
May,8.50,3.00,3.28,3.25,4.33,1.90,8.70,6.70,3.50,3.30,,
June,5.72,5.42,1.90,4.08,3.55,3.00,2.47,6.65,2.70,4.30,,
July,7.57,1.81,5.16,7.25,5.90,2.50,4.00,3.50,5.50,7.50,,
August,7.20,9.28,4.50,8.50,8.00,8.00,6.45,6.70,4.60,5.00,,
September,5.23,8.00,5.12,7.00,9.00,2.20,2.95,3.70,8.40,3.50,,
October,8.40,9.68,4.00,13.15,3.80,5.45,10.00,13.00,3.10,13.10,,
November,7.10,8.00,8.00,7.00,8.00,8.90,6.50,7.00,6.50,3.00,,
December,10.00,8.20,7.60,8.74,6.28,5.50,8.00,7.35,9.00,8.00,,
Total,81.34,73.03,60.76,91.42,74.01,59.75,68.85,75.10,69.05,69.80,,
Calc annual,81.34,73.03,60.76,91.42,74.01,59.75,68.85,75.10,69.05,69.80,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
