"FAIR ISLE SOUTH",,,,,,,,,,,,
Grid ref,HZ197698,Long,-1.653684,Lat,59.513709,,,,,,,
Station no,RR8,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,0.80,0.90,3.75,2.20,2.95,2.53,2.16,3.36,1.54,1.13,,
February,0.20,1.13,1.15,3.10,2.00,2.94,2.33,3.28,2.08,0.44,,
March,0.23,0.77,1.65,1.40,0.85,2.42,2.71,2.25,2.00,0.42,,
April,0.62,0.75,1.15,1.70,2.65,1.19,1.25,1.50,0.72,0.17,,
May,0.58,0.13,1.05,0.20,,0.84,2.72,0.40,1.03,0.34,,
June,0.20,0.30,1.00,1.50,0.25,0.30,0.61,3.35,1.20,0.20,,
July,0.23,,0.11,0.60,,2.45,1.56,0.40,0.56,1.38,,
August,1.10,0.47,1.70,2.10,0.90,3.45,1.99,0.75,0.91,1.54,,
September,1.25,0.56,0.90,1.13,0.28,1.45,1.88,1.70,1.53,1.09,,
October,2.55,0.68,1.05,5.05,1.53,1.80,4.30,3.05,0.20,2.41,,
November,1.15,2.75,1.75,3.97,0.83,1.45,2.66,6.00,5.60,2.72,,
December,1.61,3.05,5.60,0.20,3.40,0.41,4.24,1.85,3.15,1.12,,
Total,10.52,,20.86,23.15,,21.23,28.41,27.89,20.52,,,
Calc annual,10.52,11.49,20.86,23.15,15.64,21.23,28.41,27.89,20.52,12.96,,
Difference,0.00,NaN,0.00,0.00,NaN,0.00,-0.00,-0.00,0.00,NaN,,
