"MOFFAT CRAIGIELANDS",,,,,,,,,,,,
Grid ref,NT076015,Long,-3.456857,Lat,55.298901,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.99,4.49,4.87,8.28,5.29,2.83,6.74,2.86,6.76,6.01,,
February,4.15,0.41,1.01,8.01,4.25,3.41,4.75,4.85,3.70,3.05,,
March,0.28,3.32,3.99,12.23,5.03,6.56,4.28,5.02,6.70,4.48,,
April,4.29,4.98,3.44,1.15,6.31,3.84,1.59,2.76,1.66,4.39,,
May,4.45,1.38,1.91,2.33,2.96,3.18,6.87,5.89,3.85,2.78,,
June,5.57,5.50,1.35,2.41,3.93,2.39,1.53,6.23,3.85,2.18,,
July,2.69,1.81,3.20,4.81,4.04,2.52,2.95,3.29,3.49,4.26,,
August,4.54,5.20,3.88,6.55,5.08,5.50,7.18,5.52,4.19,1.72,,
September,4.63,4.86,2.91,5.33,4.19,1.81,1.35,0.79,6.94,3.01,,
October,5.97,6.26,3.84,11.50,3.01,3.65,6.88,7.53,2.44,12.84,,
November,5.76,5.12,4.66,3.38,2.85,4.77,4.17,4.97,4.11,2.34,,
December,10.89,5.94,8.34,1.69,4.93,3.65,3.32,6.09,5.25,6.67,,
Total,60.21,49.27,43.40,67.67,51.87,44.11,51.61,55.80,52.94,53.73,,
Calc annual,60.21,49.27,43.40,67.67,51.87,44.11,51.61,55.80,52.94,53.73,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
