"TOLETHORPE HALL (STAMFORD)",,,,,,,,,,,,
Grid ref,TF022103,Long,-0.489697,Lat,52.680768,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.12,0.74,0.59,1.80,1.75,0.82,3.22,,,,,
February,3.80,1.34,1.40,0.73,2.70,0.35,1.81,,,,,
March,0.49,1.85,0.90,2.19,1.74,2.28,1.31,,,,,
April,0.77,1.79,1.37,1.67,0.97,1.59,0.39,,,,,
May,1.36,1.48,3.19,2.76,1.50,0.69,1.34,,,,,
June,1.21,1.57,1.49,1.81,0.52,2.90,2.45,,,,,
July,1.04,2.30,0.97,1.62,2.05,2.29,2.10,,,,,
August,3.32,1.55,2.85,4.81,2.16,2.84,1.08,,,,,
September,0.33,0.88,2.13,2.53,2.05,2.42,0.94,,,,,
October,1.79,2.21,1.64,5.86,0.53,1.01,3.49,,,,,
November,2.29,1.11,1.80,1.60,0.73,2.75,3.23,,,,,
December,4.32,4.21,0.86,0.83,1.35,0.45,1.98,,,,,
Total,23.84,21.03,19.19,28.21,18.05,20.39,23.34,,,,,
Calc annual,23.84,21.03,19.19,28.21,18.05,20.39,23.34,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
