"INVERGARRY",,,,,,,,,,,,
Grid ref,NH316009,Long,-4.779194,Lat,57.068252,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.17,4.72,2.23,12.32,8.55,7.55,12.73,6.36,7.88,10.57,,
February,1.30,3.35,0.88,16.88,4.39,7.23,5.22,7.07,5.71,2.64,,
March,0.94,1.64,5.24,15.94,3.13,6.88,4.55,6.09,8.30,1.08,,
April,2.19,1.43,0.80,2.39,11.44,3.12,2.87,3.17,1.94,3.72,,
May,3.20,0.58,3.21,2.86,5.55,2.73,4.16,4.09,3.29,3.69,,
June,1.77,4.53,0.98,2.37,3.61,2.21,1.17,4.84,3.15,1.12,,
July,5.35,0.87,2.52,5.90,2.18,2.46,3.95,2.48,3.48,5.31,,
August,4.28,1.40,3.16,9.19,4.53,2.98,4.75,6.83,5.70,3.71,,
September,5.50,2.35,2.76,4.61,5.72,4.27,3.62,2.20,7.67,2.53,,
October,3.80,5.88,6.82,10.29,3.85,3.84,8.04,3.21,1.96,11.97,,
November,3.58,1.92,2.43,6.97,3.77,6.22,6.71,6.29,7.23,5.63,,
December,15.18,4.50,8.34,4.80,6.66,6.29,6.51,8.66,10.26,6.04,,
Total,56.26,33.17,39.37,94.52,63.38,55.78,64.28,61.29,66.57,58.01,,
Calc annual,56.26,33.17,39.37,94.52,63.38,55.78,64.28,61.29,66.57,58.01,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
