"MOTTISTONE (JACK'S HILL)",,,,,,,,,,,,
Grid ref,SZ412835,Long,-1.418605,Lat,50.649733,,,,,,,
Station no,597,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.79,,,
February,,,,,,,,,1.02,,,
March,,,,,,,,,2.58,,,
April,,,,,,,,,2.19,,,
May,,,,,,,,,1.42,,,
June,,,,,,,,,0.41,,,
July,,,,,,,,,1.50,,,
August,,,,,,,,,2.15,,,
September,,,,,,,,,1.94,,,
October,,,,,,,,,1.36,,,
November,,,,,,,,,0.96,,,
December,,,,,,,,,2.84,,,
Total,,,,,,,,,19.16,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.16,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
