SLAIDBURN-DOBDALE,,,,,,,,,,
Grid ref,SD747592,Long,-2.3877087,Lat,54.028166,Elevation,800,ft.,,
Station no,3088/4/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.77,7.2,6.35,4.41,7.5
February,,,,,,1.55,4.63,8.85,1.2,5.17
March,,,,,,2.45,4.57,1.27,3.07,1.61
April,,,,,,1.95,0.95,1.5,3.73,4.29
May,,,,,,2,2.8,6.3,0.79,1.78
June,,,,,,2.94,2,3.9,3.45,2.3
July,,,,,,7.45,5.58,4.49,4.68,8.53
August,,,,,,11.62,6.54,5.9,0.58,4.15
September,,,,,,3.55,6.4,6.39,0.53,3.74
October,,,,,,4.3,8.2,5.02,6.85,3.83
November,,,,,,2,1.75,2.14,6.35,10.7
December,,,,,7.9,6.83,6.9,5.55,11.1,7.31
Total,,,,,,52.41,57.52,57.66,46.74,60.91
,,,,,,,,,,
NGR is from the 1950s record and is in the Dobdale Valley.,,,,,,,,,,
Stated altitude of 50 ft. too high or gauge is 100m W to match altitude.,,,,,,,,,,
Note there is a rain gauge 400m SSW (SD744869) but this is on early OS maps and is not this gauge.,,,,,,,,,,
