SEDGEFIELD HARDWICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ345293,Long,-1.466748,Lat,54.657618,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.81,,,,,,2.69,0.56,3.82,2.18,2.87,3.16,,,,,,,,,,
February,,,,,,,,,,1.18,,,,,,3.45,3.24,0.96,1.19,1.66,0.73,,,,,,,,,,
March,,,,,,,,,,4.58,,,,,,2.11,4.24,2.77,1.56,2.78,3.02,,,,,,,,,,
April,,,,,,,,,,2.18,,,,,,0.75,1.61,2.46,1.35,1.9,3.6,,,,,,,,,,
May,,,,,,,,,,1.79,,,,,,1.82,2.56,1.45,1.47,0.71,3.5,,,,,,,,,,
June,,,,,,,,,,2.09,,,,,,0.42,1.77,1.49,0.48,1.08,0.93,,,,,,,,,,
July,,,,,,,,,,2.59,,,,,,4.14,2.61,0.96,3.46,1.75,4.25,,,,,,,,,,
August,,,,,,,,,,4.4,,,,,,2.41,3.22,6.56,1.75,2.47,2.25,,,,,,,,,,
September,,,,,,,,,,2.47,,,,,,2.01,1.75,0.98,5.17,0.69,1.51,,,,,,,,,,
October,,,,,,,,,,2.46,,,,,,1.77,2.76,2.06,1.91,6.12,2.69,,,,,,,,,,
November,,,,,,,,,,0.9,,,,,,2.44,2.48,1.13,1.12,4.15,1.22,,,,,,,,,,
December,,,,,,,,,,3.29,,,,,,6.67,2.09,2.01,2.72,2.87,3.47,,,,,,,,,,
Total,,,,,,,,,,28.74,,,,,,30.68,28.89,26.65,24.36,29.05,30.33,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Aug mistranscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
