"SEDGEFIELD HARDWICK",,,,,,,,,,,,
Grid ref,NZ345293,Long,-1.466748,Lat,54.657618,,,,,,,
Station no,RR2459,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.81,,
February,,,,,,,,,,1.18,,
March,,,,,,,,,,4.58,,
April,,,,,,,,,,2.18,,
May,,,,,,,,,,1.79,,
June,,,,,,,,,,2.09,,
July,,,,,,,,,,2.59,,
August,,,,,,,,,,4.40,,
September,,,,,,,,,,2.47,,
October,,,,,,,,,,2.46,,
November,,,,,,,,,,0.90,,
December,,,,,,,,,,3.29,,
Total,,,,,,,,,,28.74,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.74,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
