CHIPPING-CAMPDEN-HIDCOTE (HIDCOTE VALE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP171420,Long,-1.7519095,Lat,52.076102,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.73,2.02,0.82,3.54,3.31,0.65,2.65,0.95,1.16,2.13,3.69,2.78,2.02,2.52,,,,,,,,
February,,,,,,,,,,0.38,3.05,1.48,1.73,0.93,1.83,3.42,3.23,1,0.92,2.61,0.64,0.24,2.61,,,,,,,,
March,,,,,,,,,,2.87,0.58,1.64,4.01,3.45,3.04,0.69,3.46,1.97,1.18,4.12,2.55,1.17,1.86,,,,,,,,
April,,,,,,,,,,1.95,2.61,0.91,0.14,2.73,0.84,0.88,1.16,1.23,2.9,2.22,4.38,0.96,2.54,,,,,,,,
May,,,,,,,,,,0.83,1.35,0.66,3.05,1.92,1.28,2.82,2.36,3.29,1.44,0.52,1.53,1.42,0.64,,,,,,,,
June,,,,,,,,,,4.09,3.04,1.72,4.42,0.43,3.47,1.05,2.18,1.4,0.77,0.86,2.31,0.42,0.8,,,,,,,,
July,,,,,,,,,,2.22,2.29,0.09,4.17,1.91,3.46,2.84,1.67,1.78,3.1,3.02,3.93,0.37,4.12,,,,,,,,
August,,,,,,,,,,2.63,3.23,2.02,7.23,0.75,1.01,1.47,2.68,4.2,0.82,2.34,1.23,2.11,4.71,,,,,,,,
September,,,,,,,,,,2.83,0.68,1.43,0.66,2.64,0.84,0.72,1.38,1.91,5.6,1.5,2.44,1.17,2.11,,,,,,,,
October,,,,,,,,,,2.59,2.6,2.21,2.05,2.45,1.55,2.87,3.34,2.47,1.57,2.02,2.79,1.3,0.47,,,,,,,,
November,,,,,,,,,,0.59,3.8,2.24,1.49,2.65,3.19,2.21,3.66,1.11,2.08,1.29,0.57,1.7,1.1,,,,,,,,
December,,,,,,,,,1.34,2.53,4.44,5.47,3.05,0.87,5.34,3.83,2.92,1.61,2.23,3.76,2.19,1.61,3.68,,,,,,,,
Total,,,,,,,,,,24.24,29.69,20.69,35.54,24.04,26.5,25.45,28.99,23.13,24.74,27.95,27.34,14.49,27.16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1 Dec 1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
