REDHILL-LONDON-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ280512,Long,-0.16647,Lat,51.24615,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,3.53,2.17,2.75,2.12,2.04,1.28,5.41,5.33,3.4,5.24,2.5,2.31,3.09,6.05,2.47,2.37,2.92,2.32,4.18,1.25,1.24,3.41,2.3,1.56,1.54,3.25,4.42,2.44,2.9,3.29,2.94
February,,,,,,,,,,0.41,0.95,2.34,0.54,2.69,0.3,3.62,1.84,4.54,0.9,1.64,2.37,2.98,0.8,1.72,1.04,2.12,2.55,1.61,2.38,1.31,4.92,6.62,0.85,1.49,2.24,1.67,0.35,4,2.51,0.15,2.21
March,,,,,,,,,,0,2.02,0.47,1.42,3.63,2.38,0.48,1.69,3.52,0.36,1.61,3.12,3.61,1.91,0.44,0.15,1.39,1.36,6.09,0.91,1.23,1.46,3.57,3.35,0.43,2.68,1.43,0.93,1.53,1.75,2.16,2.02
April,,,,,,,,,,0.96,1.7,4.97,2.44,0.67,2.4,3.27,2,3.34,0.14,2.78,2.23,1.34,1.51,1.1,1.91,1.36,2.62,2.08,1.61,1.91,3.21,3.21,1.66,2.54,0.43,0.39,2.1,0.2,1.04,2.66,0.88
May,,,,,,,,,,2.33,2.95,3.04,4.09,2.15,0.57,2.13,0.52,2.05,1.98,1.55,1.43,1.79,3.23,2.73,0.94,2.33,2.77,1.85,1.66,2.22,1.43,2.45,1.57,1.86,2.38,4.14,0.26,1.49,2.34,0.69,1.52
June,,,,,,,,,,1.34,0.48,1.36,1.46,1.71,0.8,4.56,3.11,1.83,0.58,1.26,0.26,2.26,0.11,2.18,1.6,2.04,3.08,2.59,2.8,0.9,1.72,1.38,1.71,1.73,3.86,1.95,2.96,1.5,4.15,3.02,1.46
July,,,,,,,,,,2,3.33,3.04,2.3,1.7,1.81,1.15,3.47,1.18,1.92,2.53,2.78,3.38,2.25,1.96,2.32,3.44,2.63,1.47,1.47,0.82,3.1,2.26,0.82,3.5,3.51,1.21,4.89,4.44,1.74,0.81,3.18
August,,,,,,,,,,2.24,3.12,5.38,0.52,0.89,2.15,3.91,0.54,1,2.4,2.64,0.08,4.12,3.12,1.57,2.67,1.84,4.77,0.47,4.65,1.23,2.58,4.98,3.84,1.6,2.96,1.61,2.78,2.44,3.56,1.18,2.77
September,,,,,,,,,,0.18,3.8,1.73,1.85,3.08,1.72,3.85,2.24,2.36,2.71,1.82,1.63,0.4,2.36,1.63,2.59,2.38,4.04,1.39,1.63,0.54,3.42,2.95,2.53,3.24,2.1,2.06,2.93,2.75,5.65,0.13,3.7
October,,,,,,,,,,3.71,1.82,0.72,6.62,2.28,2.12,3.92,2.01,3.11,3.44,6.95,3.35,1.35,4.05,3.82,4.45,4.38,1.22,0.41,2.1,7.15,0.22,1.22,3.2,3.96,2.4,4.51,1.31,1.83,3.84,3.21,6.48
November,,,,,,,,,,6.93,4.83,3.73,1.45,0.99,3.15,5.63,4.33,1.94,3.89,5.49,8.18,3.24,1.85,2.17,5.34,0.29,5.01,1.27,2.25,2.81,6.73,6.15,3.6,1.8,5.83,1.18,0.92,2.68,2.38,3.03,5.28
December,,,,,,,,,,7.25,2.2,0.71,0.59,0.58,7.36,3.95,3.43,3.96,3.66,1.71,1.76,2.64,3.28,2.16,2.49,3.5,3.34,2.69,4.28,1.57,2.17,3.19,3.11,0.68,1.86,2.85,3.79,2.12,3.57,5.06,3.4
Total,,,,,,,,,,,30.73,29.66,26.03,22.49,26.8,37.75,30.59,34.16,25.38,35.22,29.69,29.42,27.56,27.53,27.97,27.44,36.31,24.24,29.92,22.94,32.2,41.39,28.54,24.39,31.79,26.25,27.64,27.42,35.43,25.39,35.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Jan 9th Gauge moved 660 yds NE from Warwick Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan 1st New gauge fitted and height lowered 6in to 1ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Aug Octapent rain gauge purchased Note on 1950 sheet suggests it was being assessed and other gauge still being used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Jan 18th Gauge sound Measure approved Site o/s by office wing and trees Best site available Recommend lop trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station still in use 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
