"BALERNO (SHOTHEAD) (COCKBURN FARM)",,,,,,,,,,,,
Grid ref,NT147651,Long,-3.364753,Lat,55.871488,,,,,,,
Station no,5129/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.51,3.54,0.60,3.12,1.81,1.30,4.48,2.38,1.18,3.16,,
February,3.04,0.82,0.82,2.12,2.03,2.09,4.02,2.38,0.85,3.06,,
March,4.12,1.57,0.49,2.29,1.98,1.57,2.06,1.90,1.09,1.25,,
April,3.39,1.86,3.31,1.02,0.60,0.62,0.91,2.66,2.38,1.46,,
May,3.39,1.87,2.26,5.08,2.84,1.21,2.17,3.07,1.38,1.17,,
June,1.33,2.78,1.71,2.38,0.75,2.64,2.12,3.84,1.60,1.20,,
July,3.78,2.58,4.22,2.55,2.21,4.51,4.97,6.03,3.07,3.25,,
August,6.53,3.25,2.23,5.97,1.25,6.25,4.55,4.15,0.63,4.50,,
September,1.38,2.51,3.03,3.50,1.71,3.69,2.26,5.01,0.56,2.02,,
October,0.83,2.06,1.56,6.67,1.67,2.48,2.67,1.71,2.70,4.54,,
November,6.29,2.94,4.44,4.44,1.24,0.98,1.98,1.34,6.44,3.59,,
December,4.27,3.37,3.55,4.02,4.59,3.62,4.16,5.73,3.24,3.48,,
Total,41.86,29.15,28.22,43.16,22.68,30.96,36.35,40.20,25.12,32.68,,
Calc annual,41.86,29.15,28.22,43.16,22.68,30.96,36.35,40.20,25.12,32.68,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
