BALERNO (SHOTHEAD FARM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT147651,Long,-3.364753,Lat,55.871488,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5129/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.13,4.68,3.8,1.57,3.44,4.69,4.97,5.77,1.26,2.08,5.04,3.58,3.45,2.95,2.7,3.62,7,2.62,1.77,3.51,3.54,0.6,3.12,1.81,1.3,4.48,2.38,1.18,3.16
February,,0.24,2.31,0.16,3.13,4.01,3.76,1.26,3.56,1.06,5.49,2.91,2.63,2.05,4.77,1.56,2.18,3.42,2.7,4.11,3.04,0.82,0.82,2.12,2.03,2.09,4.02,2.38,0.85,3.06
March,,2.67,1.44,3.87,1.39,2.38,2.15,1.29,4.1,3.4,3.03,2.81,2.06,1.38,,2.57,5.59,2.22,1.2,2.8,4.12,1.57,0.49,2.29,1.98,1.57,2.06,1.9,1.09,1.25
April,,3.89,2.26,5.57,3.53,1.37,1.26,0.27,1.87,2.65,1.8,1.77,1.42,2.52,,0.78,4.94,2.42,1.92,3.23,3.39,1.86,3.31,1.02,0.6,0.62,0.91,2.66,2.38,1.46
May,,3.92,1.94,1.77,0.94,0.87,2.35,3.78,0.9,2.5,4.41,2.34,3.96,3.1,,1.91,3.5,1.78,3.06,2.05,3.39,1.87,2.26,5.08,2.84,1.21,2.17,3.07,1.38,1.17
June,,1.36,2.75,3.05,2.63,1.69,1.46,4.26,2,0.77,0.71,1.32,2.01,3.37,,2.06,2.75,5.29,1.26,1.7,1.33,2.78,1.71,2.38,0.75,2.64,2.12,3.84,1.6,1.2
July,,2.04,3.93,2.06,1.08,4.93,4.45,3.33,2.72,6.75,3.55,2.58,1.92,2.45,,4.19,4.32,3.15,1.5,4.2,3.78,2.58,4.22,2.55,2.21,4.51,4.97,6.03,3.07,3.25
August,,0.86,1.27,3.26,2.37,2.84,4.61,1.61,1.5,0.98,3.43,3.1,4.96,3,,4.02,0.25,8.83,2.7,3.4,6.53,3.25,2.23,5.97,1.25,6.25,4.55,4.15,0.63,4.5
September,,3.23,2.32,2.53,3.73,3.03,2.2,3.09,1.96,2.7,0.84,4.06,2.45,5.26,,4.07,1.87,3.1,2.37,6.33,1.38,2.51,3.03,3.5,1.71,3.69,2.26,5.01,0.56,2.02
October,,6.86,2.92,4.73,7.01,3.53,5.35,6.73,2.51,3.65,3.61,3.76,4.72,3.8,,0.89,1.46,1.79,5.37,3.04,0.83,2.06,1.56,6.67,1.67,2.48,2.67,1.71,2.7,4.54
November,,2.67,1.67,1.86,5.63,3.45,0.38,5.93,5.58,5.4,2.39,1.05,1.54,7.42,,4.82,4.37,2.84,3.91,4.84,6.29,2.94,4.44,4.44,1.24,0.98,1.98,1.34,6.44,3.59
December,2.4,7.59,1.01,5.55,2.81,3.18,2.13,2.78,1.61,3.18,2.02,2.78,1.68,3.71,,3.25,2.44,4.15,7.6,1.64,4.27,3.37,3.55,4.02,4.59,3.62,4.16,5.73,3.24,3.48
Total,,40.46,28.5,38.21,35.82,34.72,34.79,39.3,34.08,34.3,33.36,33.52,32.93,41.51,,32.82,37.29,45.99,36.21,39.11,41.86,29.15,28.22,43.16,22.68,30.96,36.35,40.2,25.12,32.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 no total - incomplete year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,BALERNO ,1931-1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
