SHIFNAL-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ746074,Long,-2.3769948,Lat,52.663716,Elevation,285,ft.,,,,,,,,,,,,
Station no,RR1395,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,2.09,1.69,2.47,0.31,1.5,2.34,1.59,1.09,2.06,1.47,1.25,1.75,,,
February,,,,,,2.19,1.91,3.16,1.44,1.97,2.62,1.09,0.78,2.03,1.97,0.75,1,,,
March,,,,,,1.59,3.81,0.75,1.16,1.31,0.38,2.41,2.56,0.91,2.28,1.25,2.19,,,
April,,,,,,1.59,2.19,1.75,1.78,1.38,0.88,1.72,0.97,2,0.38,1.19,4.72,,,
May,,,,,,2.25,0.25,1.25,2.16,0.94,2.69,2.69,2.12,3.28,0.16,1.75,0.97,,,
June,,,,,,2.62,1.41,2.06,5.41,3.75,2.31,2.41,1.91,2.25,0.47,2.5,1.62,,,
July,,,,,,1.34,1.53,2.81,2.09,4.66,2.78,2.62,1.62,1.44,2.56,2.41,2.72,,,
August,,,,,,0.59,2.12,3.16,2.31,3.25,3.09,4.66,1.69,4.94,2.31,5.25,4.41,,,
September,,,,,,3.62,1.91,1.75,1.28,3.38,2.06,6.03,2.69,0.72,3.03,2.38,2,,,
October,,,,,,4.47,2.38,2.72,2.47,1.28,1,3.34,1.09,5.22,2.38,2.38,4.12,,,
November,,,,,,2.03,4.94,2.22,2.66,3.81,3.47,3.06,4.75,2.75,3.09,1.78,1.12,,,
December,,,,,,0.59,1.06,1.47,1.28,1.81,0.28,2.19,0.62,0.56,0.34,3.06,0.44,,,
Total,,,,,,24.97,25.2,25.57,24.35,29.04,23.9,33.81,21.89,28.16,20.44,25.95,27.06,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Shifnal Vicarage. The Observer, Reverend John Brooke, moved the gauge anout 1km NNW to Haughton Hall, where observations continued to 1915",,,,,,,,,,,,,,,,,,,,
