CROWLE - KEADBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE835114,Long,-0.740,Lat,53.593,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,,1.33,3.00,0.99,1.15,3.01,1.09,1.24,1.38,1.39,2.11,1.00,1.95,0.12,0.40,1.87,1.67,1.72,1.14,2.47,1.21,0.50,1.46,1.40,1.10,0.81,1.01,0.92,2.61,0.45,1.28,0.32,1.40,3.68,0.96,0.61,1.20,1.23,0.24,2.10,0.57,0.68,0.80,1.00,0.87,2.82,2.18,1.39,2.32,0.45,2.32,0.70,2.75,1.70,1.61,2.07
February,,1.14,1.24,1.60,2.12,2.29,1.61,1.36,0.77,1.83,1.33,0.90,1.47,1.03,1.71,0.97,1.79,1.42,1.78,0.32,0.26,0.82,0.57,0.80,0.02,1.61,2.62,2.43,0.27,0.45,1.86,0.22,1.27,2.57,1.28,1.02,0.72,2.23,0.49,1.80,1.05,1.61,0.57,1.53,0.89,1.18,0.48,0.46,2.21,2.53,0.69,1.05,1.76,1.13,0.14,2.36
March,,0.96,2.19,2.00,0.62,2.26,2.37,0.57,0.55,1.99,2.44,0.42,0.57,1.26,1.37,1.40,0.60,1.17,1.20,1.58,0.83,1.60,2.56,1.33,0.94,0.80,0.34,0.48,1.70,1.82,1.97,1.19,0.63,0.40,1.13,1.21,1.64,1.12,2.20,0.90,1.18,2.51,2.31,0.70,1.17,2.27,1.55,1.68,0.76,3.08,0.90,0.57,2.64,1.70,0.69,1.61
April,2.09,1.24,2.13,0.79,3.77,3.75,0.80,1.45,0.10,1.26,2.03,0.57,1.13,1.99,0.65,2.22,1.81,0.96,1.00,1.64,0.99,1.25,1.51,0.49,1.00,1.15,0.21,1.04,0.94,0.61,1.35,1.64,1.92,1.29,1.12,1.45,0.91,0.86,1.79,0.63,1.75,2.24,2.01,1.67,1.04,0.11,1.54,0.45,1.19,1.16,1.26,1.11,1.55,3.95,1.15,1.88
May,1.51,1.64,5.31,0.66,1.75,1.39,1.58,1.07,1.22,0.86,1.18,1.58,2.51,1.71,0.66,2.09,1.40,0.23,0.95,4.10,1.44,0.30,3.26,2.04,3.22,3.27,1.15,0.92,0.49,0.89,0.89,1.18,2.28,1.21,0.73,2.15,2.08,2.54,0.34,1.41,2.12,1.70,0.93,1.54,0.60,2.22,1.85,1.57,1.10,2.58,1.06,2.52,0.50,2.12,1.77,1.61
June,2.13,0.75,1.57,2.93,3.69,2.40,2.24,0.50,1.42,2.51,0.61,1.40,2.88,3.27,2.27,3.68,3.04,0.50,2.56,0.67,0.22,1.55,0.31,2.08,1.58,3.69,1.38,2.26,1.39,2.56,1.76,0.99,1.87,1.99,1.44,2.17,1.51,0.33,1.49,1.36,3.06,1.08,2.46,2.11,3.66,4.14,0.90,1.72,0.61,1.76,1.34,0.94,1.36,1.50,0.17,1.01
July,2.53,0.18,0.22,0.46,3.90,5.47,2.04,1.13,3.99,2.39,3.68,0.81,2.86,3.61,1.52,2.58,3.58,2.77,0.79,2.44,0.87,6.35,0.75,1.82,4.10,1.20,1.97,3.53,4.56,1.73,0.15,0.38,1.24,1.68,1.32,1.14,2.52,1.80,0.74,0.61,1.78,3.36,3.36,3.76,0.28,3.37,0.18,2.55,4.95,2.15,0.83,3.95,1.87,3.28,0.53,4.00
August,2.90,2.02,1.95,3.22,1.35,2.13,2.25,2.46,1.13,1.68,3.76,3.85,2.64,2.47,5.71,2.27,0.81,1.06,1.55,2.12,2.01,2.22,2.60,2.74,3.37,1.85,1.11,2.93,1.76,1.39,2.64,2.86,0.97,3.89,1.83,1.48,2.47,3.09,2.79,1.19,1.34,1.61,2.90,2.66,2.08,4.15,0.81,2.78,2.86,3.24,5.10,2.50,2.22,0.69,2.72,2.27
September,2.15,2.73,2.95,1.11,6.71,3.02,1.65,0.89,1.44,1.78,2.27,1.99,1.69,2.10,1.95,1.19,3.94,0.64,2.36,0.67,1.81,1.27,1.25,1.18,1.56,0.78,0.90,0.43,0.75,3.60,2.30,0.73,2.30,0.53,1.13,0.43,2.80,1.69,1.12,0.79,0.53,1.38,1.44,0.04,2.16,1.33,1.35,0.85,0.77,1.20,0.75,4.25,1.24,1.39,0.63,1.95
October,1.62,2.19,1.66,6.55,1.19,3.56,1.65,1.38,3.22,1.04,0.23,2.29,0.77,3.51,1.66,4.51,2.97,0.82,4.54,3.03,1.50,0.76,3.31,0.94,3.74,3.86,1.20,3.15,2.38,4.59,0.98,2.22,2.19,2.30,1.72,2.40,5.43,0.44,1.42,4.27,4.04,0.64,2.70,1.78,1.39,2.01,2.12,2.09,1.01,1.66,3.05,1.05,2.11,1.79,1.21,1.17
November,1.00,1.71,1.04,1.30,1.35,3.93,1.46,3.19,2.83,1.63,1.92,1.75,0.35,1.33,1.80,2.65,2.27,0.63,1.61,1.21,1.66,2.45,0.27,2.48,2.42,1.09,1.86,1.34,1.79,1.40,2.50,1.19,1.07,2.53,2.25,0.98,1.04,0.52,2.40,2.28,1.64,1.16,0.36,2.52,2.15,2.45,1.69,1.78,2.11,1.91,1.32,1.57,1.72,1.04,1.77,1.04
December,1.57,5.09,4.10,2.37,1.25,2.88,0.20,1.47,0.91,2.17,1.27,0.79,1.50,2.31,1.88,3.18,1.17,1.79,0.72,2.98,0.61,1.80,0.97,0.47,2.87,0.41,2.26,1.25,1.82,2.21,1.32,1.71,2.14,2.69,3.57,1.47,0.73,1.20,0.36,1.80,2.34,1.23,3.98,2.32,3.30,1.43,1.03,4.23,4.29,2.12,0.88,3.40,2.95,2.12,1.68,2.40
Total,,20.98,27.36,23.98,28.85,36.09,18.94,16.71,18.96,20.53,22.83,17.35,20.32,24.71,21.58,28.61,25.05,13.71,20.20,23.23,13.41,20.87,18.82,17.77,25.92,20.52,16.01,20.68,20.46,21.70,19.00,14.63,19.28,24.76,18.48,16.51,23.05,17.05,15.38,19.14,21.40,19.20,23.82,21.63,19.59,27.48,15.68,21.55,24.18,23.84,19.50,23.61,22.67,22.41,14.07,23.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# This was an MS&L Railway Company site, and related to its ownership of the Stainforth and Keadby Canal (part of its South Yorkshire Waterways group).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The detailed location is not specified on the sheets. The grid reference is for the Stainforth and Keadby Canal's Trent Lock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
