"CANONBIE (IRVINE HOUSE)",,,,,,,,,,,,
Grid ref,NY374806,Long,-2.982961,Lat,55.115822,,,,,,,
Station no,5038,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.39,3.87,2.30,4.16,4.54,4.09,7.38,5.21,3.45,6.95,,
February,3.44,1.08,1.50,3.48,1.58,1.26,3.89,3.53,1.38,5.73,,
March,4.22,3.61,1.17,3.56,2.63,2.19,4.38,1.01,2.49,1.71,,
April,2.47,3.44,3.39,1.07,2.25,1.15,2.13,2.32,3.80,4.68,,
May,1.80,1.78,2.13,3.33,3.42,3.31,2.78,3.83,2.80,3.40,,
June,1.66,3.63,2.86,5.32,3.38,2.28,1.62,2.93,3.70,2.45,,
July,3.85,2.56,9.30,6.78,2.80,5.54,3.62,4.00,4.24,6.51,,
August,5.31,4.91,6.30,5.53,2.14,8.61,4.35,6.54,0.84,4.34,,
September,6.92,2.61,4.20,8.07,2.78,3.17,5.35,6.33,1.89,3.61,,
October,1.22,4.24,2.20,10.40,2.67,3.70,4.41,4.98,5.23,3.73,,
November,7.72,3.32,7.67,7.99,1.44,2.43,1.15,1.60,6.89,6.38,,
December,7.00,4.93,3.07,6.84,7.00,5.10,3.91,3.72,8.08,5.29,,
Total,51.00,39.98,46.09,66.53,36.63,42.83,44.97,46.00,44.79,54.78,,
Calc annual,51.00,39.98,46.09,66.53,36.63,42.83,44.97,46.00,44.79,54.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
