"DEVONPORT ROWDEN RESERVOIR",,,,,,,,,,,,
Grid ref,SX465558,Long,-4.160389,Lat,50.382007,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.17,2.41,1.47,4.56,4.88,1.95,6.34,1.27,1.23,1.74,,
February,5.34,1.20,1.83,1.61,6.15,0.94,4.59,1.96,2.46,0.48,,
March,2.18,2.45,2.27,4.79,1.99,5.07,1.29,0.94,4.09,5.14,,
April,2.02,3.93,2.03,1.52,1.41,2.67,1.08,4.90,3.19,1.79,,
May,1.61,1.61,1.68,2.19,3.27,0.82,3.61,2.85,1.86,0.96,,
June,3.67,1.47,2.53,3.64,1.15,2.38,1.76,2.36,0.47,3.30,,
July,1.08,2.97,2.34,4.37,5.46,0.67,1.46,1.42,1.85,3.21,,
August,2.67,2.14,2.06,3.93,3.45,3.81,2.39,1.92,4.16,1.69,,
September,1.41,4.17,2.69,4.25,2.62,1.18,0.91,1.85,2.89,0.99,,
October,2.06,2.25,2.49,7.59,2.47,1.37,4.05,5.76,1.53,6.20,,
November,4.17,0.42,5.84,1.81,1.91,5.58,2.07,4.02,1.09,0.94,,
December,5.49,6.15,3.29,5.07,3.66,1.41,2.91,4.25,4.83,5.61,,
Total,36.87,31.17,30.52,45.33,38.42,27.85,32.46,33.50,29.65,32.05,,
Calc annual,36.87,31.17,30.52,45.33,38.42,27.85,32.46,33.50,29.65,32.05,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
