"DEVONPORT (ROWDENS RESERVOIR)",,,,,,,,,,,,
Grid ref,SX464557,Long,-4.161753,Lat,50.381082,,,,,,,
Station no,1639,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.47,,,,,,,,,,,
February,4.22,,,,,,,,,,,
March,4.37,,,,,,,,,,,
April,1.87,,,,,,,,,,,
May,2.92,,,,,,,,,,,
June,1.08,,,,,,,,,,,
July,1.35,,,,,,,,,,,
August,5.40,,,,,,,,,,,
September,5.05,,,,,,,,,,,
October,1.23,,,,,,,,,,,
November,5.93,,,,,,,,,,,
December,3.36,,,,,,,,,,,
Total,41.25,,,,,,,,,,,
Calc annual,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
