HERTFORD (CHAPMORE END),,,,,,,,,,,,
Grid ref,TL331158,Long,-0.070093,Lat,51.824974,,,,,,,
Station no,959/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.99,3.39,0.87,2.14,2.02,2.19,,
February,,,,,1.79,0.58,2.41,2.71,0.05,1.62,,
March,,,,,1.50,0.80,1.17,1.02,2.06,1.04,,
April,,,,,0.57,1.09,0.21,1.29,1.98,0.50,,
May,,,,,4.09,0.35,0.65,2.67,0.87,0.99,,
June,,,,,2.34,3.71,1.88,4.93,1.04,1.41,,
July,,,,,0.11,2.91,2.81,3.73,2.66,2.87,,
August,,,,,1.18,4.93,1.37,2.60,2.04,2.59,,
September,,,,,1.52,1.65,2.66,3.01,0.09,4.67,,
October,,,,,3.51,1.69,1.82,2.85,1.96,5.32,,
November,,,,,0.87,0.73,1.97,1.83,2.17,3.28,,
December,,,,,1.99,3.43,2.32,2.54,4.01,2.95,,
Total,,,,,21.46,25.26,20.14,31.32,20.95,29.43,,
Calc annual,0.00,0.00,0.00,0.00,21.46,25.26,20.14,31.32,20.95,29.43,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
