STOURPORT (LINCOMBE LOCK),,,,,,,,,,,,
Grid ref,SO822694,Long,-2.262580,Lat,52.322406,,,,,,,
Station no,2409,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.22,2.21,0.76,1.08,2.63,3.10,1.18,2.17,3.15,4.59,,
February,2.39,0.50,1.66,2.23,1.39,0.41,2.99,4.48,0.14,1.92,,
March,3.51,1.58,1.37,2.35,2.84,1.00,1.51,1.15,2.16,1.01,,
April,2.44,2.11,2.83,0.41,1.10,1.15,0.06,0.36,3.06,0.90,,
May,3.15,2.85,2.43,2.87,3.18,0.46,1.46,1.96,1.21,1.30,,
June,0.95,1.58,2.80,2.92,3.59,1.44,1.61,3.23,1.45,1.54,,
July,1.36,1.02,2.62,2.67,0.69,2.00,3.74,2.86,1.26,2.64,,
August,3.89,4.98,2.84,3.79,0.51,4.00,4.66,2.14,1.45,4.13,,
September,2.34,1.12,2.28,1.58,1.75,3.01,4.00,4.21,0.16,4.80,,
October,0.68,4.45,2.43,2.31,1.81,1.79,1.08,2.15,2.24,6.26,,
November,6.22,1.83,1.28,5.96,2.88,0.85,2.25,1.74,3.29,3.89,,
December,2.16,2.64,0.97,1.53,2.65,2.74,1.79,3.17,4.39,2.78,,
Total,31.31,26.87,24.27,29.70,25.02,21.95,26.33,29.62,23.96,35.76,,
Calc annual,31.31,26.87,24.27,29.70,25.02,21.95,26.33,29.62,23.96,35.76,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
