Rainfall at,STOURPORT LINCOMBE LOCK
,
Station no,2409,
,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.31,0.87,3.02,3.77,0.90,2.64,0.97,1.99,2.64,3.57,
February,2.91,1.36,1.49,0.96,1.99,3.53,4.38,1.07,1.51,2.81,
March,0.59,1.77,3.81,4.88,2.57,0.76,3.63,2.34,1.46,5.07,
April,1.74,0.90,0.00,3.51,1.01,1.21,0.98,1.45,2.23,1.87,
May,1.18,0.77,3.09,1.88,1.05,3.17,2.96,3.63,2.39,0.93,
June,2.35,2.18,4.77,0.76,2.16,1.37,1.44,2.41,0.95,1.06,
July,1.87,0.18,2.78,1.15,4.59,6.52,1.65,2.61,2.47,3.37,
August,4.99,2.02,7.66,1.31,1.39,2.12,2.51,5.46,1.32,2.62,
September,0.60,1.23,0.82,1.69,1.02,0.90,1.10,1.69,7.82,1.54,
October,3.04,1.83,2.46,5.09,1.57,2.95,3.97,2.78,1.55,2.23,
November,3.71,2.58,2.12,2.89,3.19,2.28,2.74,1.17,2.01,1.27,
December,3.93,5.35,3.30,1.01,5.94,4.88,2.42,0.60,2.42,3.19,
Total,29.22,21.04,35.32,28.90,27.38,32.33,28.75,27.20,28.77,29.53,
Calc annual,29.22,21.04,35.32,28.90,27.38,32.33,28.75,27.20,28.77,29.53,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,
