"ASHBY-DE-LA-ZOUCH COLE ORTON HALL",,,,,,,,,,,,
Grid ref,SK391173,Long,-1.422147,Lat,52.751907,,,,,,,
Station no,RR4190,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.65,1.38,3.29,1.22,1.20,1.25,,
February,,,,,4.08,0.74,2.45,1.33,1.37,0.77,,
March,,,,,1.97,2.92,1.54,1.09,3.12,3.12,,
April,,,,,1.20,1.92,0.91,2.15,2.93,1.46,,
May,,,,,1.30,0.49,2.36,4.18,1.96,1.56,,
June,,,,,0.64,2.85,2.77,3.33,1.13,3.40,,
July,,,,,2.55,1.31,0.65,3.21,2.65,3.73,,
August,,,,,3.90,3.30,1.35,2.62,2.76,3.12,,
September,,,,,1.69,2.07,1.36,0.53,1.77,2.79,,
October,,,,,1.62,1.43,5.60,4.78,1.03,3.75,,
November,,,,,1.59,2.88,3.33,2.13,1.75,0.89,,
December,,,,,1.90,0.98,2.40,2.96,1.71,4.52,,
Total,,,,,25.09,22.27,28.01,29.53,23.38,30.36,,
Calc annual,0.00,0.00,0.00,0.00,25.09,22.27,28.01,29.53,23.38,30.36,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
