GABLE HAWES,,,,,,,,,,,,,,,,,,,,
Grid ref,NY190099,Long,-3.2515753,Lat,54.477964,Elevation,1077,ft,,,,,,,,,,,,
Station no,RR8964,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.87,6,-999,11.9,4.5,8.85,7.4,,7.7,-999,4,14,2,-999,-999,,,,
February,11,,6,-999,6.5,11.5,,5.12,,,-999,0.1,4.05,-999,-999,-999,,,,
March,7.35,,4.8,4.08,8.2,7.42,9.7,2.5,11.75,10,-999,1.7,1.04,-999,4.45,-999,,,,
April,5.77,22.7,8.5,3.95,4,9.85,4.2,4.4,5.6,5,3.2,8.8,2.66,1.35,4.9,5.7,,,,
May,5.2,11.5,3.37,4.83,9.7,4.64,6.6,2.3,2.4,5.4,4.4,3.95,6,5.9,6,0.8,,,,
June,10.4,13.7,8.5,6,1.6,3.65,2.65,1.26,2.7,1.4,11,2.9,4.2,3.46,6,2,,,,
July,9.57,10.3,12.9,4.45,6.87,5.13,9.5,4.2,9.75,9,6.5,5.1,3.1,10.5,7.05,9.1,,,,
August,4.15,12.1,5,6.5,2.45,3.77,4.7,2.12,5.2,6,9.3,10.75,12,9.1,9.05,11,,,,
September,10.4,5.77,4.6,11.4,6.33,9,7.9,7.35,4,4.25,7.4,10.5,11.9,9.45,0.18,3,,,,
October,2.2,4.27,6.9,9.1,8,9,10.75,7,14.86,10.4,4.9,12,9.1,11.1,11.08,8.2,,,,
November,14.3,7.25,7.45,10.75,-999,5.05,9.05,3.65,11.5,,-999,11.2,7.05,4.2,9,6.7,,,,
December,15.2,6.9,6.65,7.5,-999,7,8.45,5,10.8,,-999,10,5.2,12.45,6.9,10,,,,
Total,,,80.67,90.81,76.45,80.51,,52.3,,,83.3,81,80.3,81.31,82.76,70.9,,,,
,,,,,,,,,,,,,,,,,,,,
1880 Jan frozen so total incomplete year and removed,,,,,,,,,,,,,,,,,,,,
1881 Jan/Feb frozen so total incomplete year and removed,,,,,,,,,,,,,,,,,,,,
1883 Jan/Feb bracketed,,,,,,,,,,,,,,,,,,,,
1884 Nov/Dec bracketed,,,,,,,,,,,,,,,,,,,,
1885 Feb frozen so total incomplete year and removed,,,,,,,,,,,,,,,,,,,,
1888 Jan Feb so total incomplete year and removed,,,,,,,,,,,,,,,,,,,,
"1889 Feb frozen, total incomplete year and removed",,,,,,,,,,,,,,,,,,,,
1890 Jan/Feb/Mar then Nov/Dec bracketed,,,,,,,,,,,,,,,,,,,,
1893 Feb/Mar bracketed,,,,,,,,,,,,,,,,,,,,
1894 Jan/Feb bracketed,,,,,,,,,,,,,,,,,,,,
1895 Jan/Feb/Mar bracketed,,,,,,,,,,,,,,,,,,,,
Location based upon best guess using locations of related gauges and observer's address from census,,,,,,,,,,,,,,,,,,,,
