HARTLIP (MATTS HILL P.S.),,,,,,,,,,,,
Grid ref,TQ820625,Long,0.611165,Lat,51.332465,,,,,,,
Station no,366/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.70,2.45,1.09,1.65,3.78,4.66,2.07,3.07,2.34,2.94,,
February,6.52,1.03,1.29,2.17,2.33,0.97,3.65,2.57,0.04,2.03,,
March,3.42,3.21,0.18,2.71,1.09,0.69,0.98,1.43,1.66,1.94,,
April,2.31,0.74,2.36,0.22,0.24,1.15,0.14,1.77,2.82,0.76,,
May,2.16,0.86,2.22,1.80,3.95,0.27,1.79,2.00,0.94,2.94,,
June,1.58,1.43,2.36,4.38,2.38,2.64,1.37,4.40,0.95,1.82,,
July,2.72,0.87,2.39,2.66,2.32,4.22,3.50,1.71,2.33,3.09,,
August,3.87,3.99,1.82,3.22,3.80,4.04,1.61,4.02,0.97,5.60,,
September,4.22,3.55,2.83,1.35,1.89,2.27,2.83,4.13,0.30,3.70,,
October,1.11,2.40,2.58,1.49,4.82,1.20,1.24,3.10,2.88,6.12,,
November,4.77,5.11,1.33,6.18,0.79,0.80,3.32,1.80,4.51,5.30,,
December,2.57,3.19,0.75,2.02,2.06,2.93,3.02,3.47,5.33,3.34,,
Total,37.95,28.83,21.20,29.85,29.45,25.84,25.52,33.47,25.07,39.58,,
Calc annual,37.95,28.83,21.20,29.85,29.45,25.84,25.52,33.47,25.07,39.58,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
