HARTLIP-MATTS-HILL-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ820625,Long,0.611165,Lat,51.332465,Elevation,225,ft,,,,,,,,,,,,
Station no,366/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.39,3.4,0.99,1.85,2.7,2.45,1.09,1.65,3.78,4.66,2.07,3.07,2.34,2.94
February,,,,,,,1.92,2.22,1.06,4.34,6.52,1.03,1.29,2.17,2.33,0.97,3.65,2.57,0.04,2.03
March,,,,,,,5.49,0.81,0.94,0.95,3.42,3.21,0.18,2.71,1.09,0.69,0.98,1.43,1.66,1.94
April,,,,,,,1.59,1.29,1.58,2.45,2.31,0.74,2.36,0.22,0.24,1.15,0.14,1.77,2.82,0.76
May,,,,,,,1.25,2.45,1.69,2.12,2.16,0.86,2.22,1.8,3.95,0.27,1.79,2,0.94,2.94
June,,,,,,,2.63,3.4,0.63,1.11,1.58,1.43,2.36,4.38,2.38,2.64,1.37,4.4,0.95,1.82
July,,,,,,,2.68,1.63,0.59,3.67,2.72,0.87,2.39,2.66,2.32,4.22,3.5,1.71,2.33,3.09
August,,,,,,,0.06,2.94,0.96,1.76,3.87,3.99,1.82,3.22,3.8,4.04,1.61,4.02,0.97,5.6
September,,,,,,,1.13,1.55,1.3,3.01,4.22,3.55,2.83,1.35,1.89,2.27,2.83,4.13,0.3,3.7
October,,,,,,,0.58,1.64,7.56,0.24,1.11,2.4,2.58,1.49,4.82,1.2,1.24,3.1,2.88,6.12
November,,,,,,,0.92,1.61,3.22,5.79,4.77,5.11,1.33,6.18,0.79,0.8,3.32,1.8,4.51,5.3
December,,,,,,,2.88,4.06,1.43,2.27,2.57,3.19,0.75,2.02,2.06,2.93,3.02,3.47,5.33,3.34
Total,,,,,,,23.52,27,21.95,29.56,37.95,28.83,21.2,29.85,29.45,25.84,25.52,33.47,25.07,39.58
