MARKBEECH-EDELLS (HORSESHOE GREEN FARM),,,,,,,,,,
Grid ref,TQ479422,Long,0.11369025,Lat,51.15994,Elevation,400,ft,,
Station no,337,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.34,,,,
February,,,,,,2.94,,,,
March,,,,,,1.54,,,,
April,,,,,,3.07,,,,
May,,,,,,2.25,,,,
June,,,,,,1.98,,,,
July,,,,,,1.81,,,,
August,,,,,,5.32,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved 1946.,,,,,,,,,,
