CHESTERFIELD-SCHOOL,,,,,,,,,,
Grid ref,SK384717,Long,-1.4260727,Lat,53.240944,Elevation,298,ft.,,
Station no,2715/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.04,0.66,2.52,2.47,5.54,1.83,3.44,2.92,4.68
February,,0.52,1.84,2.38,2.35,1.38,2.78,3.79,0.12,3.06
March,,1.6,2.07,2.48,2.92,0.75,1.99,1.89,1.62,1.95
April,,1.4,2.37,0.29,0.65,1.83,0.09,0.75,3.63,1.08
May,,2.36,1.57,2.67,2.7,0.85,1.23,2.42,1.04,1.35
June,,2,2.16,2.91,2.95,2.84,1.29,5.09,1.09,0.95
July,,1.58,3.21,1.45,0.79,4.02,3.13,5.29,2.02,3.7
August,,1.79,2.01,4.76,0.41,6.55,3.86,3.2,0.98,5.26
September,,2.23,1.56,2.68,0.64,3.45,5.41,2.93,0.04,3.79
October,,3.75,2.22,3.1,2.25,1.71,1.63,1.76,2.08,5.53
November,7.21,1.79,1.23,5.64,2.78,0.65,2.53,0.58,3.98,4.43
December,3.37,2.56,1.03,3.79,2.91,3.85,2.45,3.52,4.69,2.95
Total,,24.62,21.93,34.67,23.82,33.42,28.22,34.66,24.21,38.73
,,,,,,,,,,
NGR is from the 1950s record and is on the site of Chesterfield College. Stated altitude is 50 ft too high. ,,,,,,,,,,
NGR could be 200m W or SW to match altitude and closer to the original school at this location.,,,,,,,,,,
