"LOCH MORLICH (GLENMORE LODGE)",,,,,,,,,,,,
Grid ref,NH986095,Long,-3.678312,Lat,57.165108,,,,,,,
Station no,5693/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.80,3.17,1.56,2.39,2.36,2.78,3.67,3.06,3.12,3.76,,
February,3.49,1.67,2.54,2.82,4.77,3.98,3.29,3.87,0.72,3.02,,
March,2.18,1.56,1.23,2.27,1.94,1.55,3.63,2.33,1.73,0.56,,
April,5.49,1.63,4.26,1.52,0.41,2.34,1.34,1.96,2.81,3.07,,
May,2.66,1.89,2.63,6.10,4.72,1.36,1.86,2.54,1.36,0.67,,
June,2.50,3.84,4.70,2.57,0.57,5.55,2.69,2.04,2.65,3.78,,
July,4.48,1.88,4.98,3.23,0.65,4.22,5.31,5.52,2.57,2.55,,
August,5.63,2.79,2.41,3.64,1.38,7.05,6.32,3.94,1.24,9.83,,
September,0.98,3.98,2.99,2.65,2.46,4.24,2.28,1.77,0.55,2.87,,
October,1.88,4.34,1.97,5.79,4.50,3.33,2.08,1.82,5.63,6.08,,
November,5.85,3.96,3.36,5.19,2.67,1.99,4.19,1.00,5.64,3.18,,
December,2.56,5.66,4.53,6.64,5.70,5.13,3.85,3.95,5.25,2.83,,
Total,40.50,36.37,37.16,44.81,32.13,43.52,40.51,33.80,33.27,42.20,,
Calc annual,40.50,36.37,37.16,44.81,32.13,43.52,40.51,33.80,33.27,42.20,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
