WALSALL-PLECK,,,,,,,,,,,,,,,,,,,,
Grid ref,SP002973,Long,-1.9984811,Lat,52.57352,Elevation,400,ft.,,,,,,,,,,,,
Station no,2330/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,1.85,2.74,0.92,3.16,3.36,3.07,5.65,3.03,4.12,3.49,5.2,2.72,,,,,,
February,,,3.25,0.38,2.69,2.77,3.88,0.69,1.1,2.54,2.41,1.03,1.5,2.13,,,,,,
March,,,2.64,2.31,0.63,1.83,2.69,0.48,1.34,1.78,3.02,1.68,0.91,0.44,,,,,,
April,,,0.71,2.46,3.24,2.21,2.42,0.14,1.68,3.29,1.62,1.37,1.22,2.03,,,,,,
May,,,1.63,0.97,1.04,0.8,2.48,1.76,1.14,3.16,3.17,3.62,3.35,0.68,,,,,,
June,,,2.1,0.93,2.8,3.24,0.92,1.64,1.18,0.71,0.83,0.5,2.05,1.7,,,,,,
July,,,2.28,1.42,0.37,6.5,2.62,3.34,4.68,2.18,3.26,2.04,0.83,2.27,,,,,,
August,,,0.72,2.07,1.94,0.72,1.08,2.59,2.41,0.36,4,2.99,1.9,1.69,,,,,,
September,,,0.66,1.69,4.3,2.76,2.57,1.92,1.51,0.88,0.94,1.32,2.2,3.02,,,,,,
October,,,4.17,1.69,3.56,1.57,2.16,2.53,3.66,3.59,2.36,2.63,1.55,2.93,,,,,,
November,,,0.81,2.13,5.33,2.77,1.59,3.38,4.89,6.17,3.16,1.24,1.94,4.2,,,,,,
December,,,0.44,4.5,3.17,2.06,2.53,3.84,1.51,2.18,1.61,2.9,1.18,1.44,,,,,,
Total,,,21.26,23.29,29.99,30.39,28.3,25.38,30.75,29.87,30.5,24.81,23.83,25.25,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is in Pleck with the stated relationship to the church and station. Altitudes match,,,,,,,,,,,,,,,,,,,,
