ROBERTSBRIDGE-SALEHURST-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ7487924401,Long,0.490543,Lat,50.992438,Elevation,110,ft,,,,,,,,,,,,
Station no,RR4907,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.33,2.8,5.7,1.48,5.4,1.17,2.15,1.08,3.85,1.8,3.14,,,,,,,
February,,,1.85,1.79,3.85,1.04,3.48,2.05,1.41,0.62,4.5,1.56,2.92,,,,,,,
March,,,2.02,3.33,1.61,5.14,2.16,1.15,3.37,4.87,2.09,3.08,5.07,,,,,,,
April,,,0.97,1.98,1.24,2.42,1.58,3.41,2.59,2.35,1.84,2.09,0.16,,,,,,,
May,,,2.43,2.26,2.18,1.81,2.77,2.62,1.49,1.42,2.99,0.78,0.81,,,,,,,
June,,,2.33,3.63,1.33,4.1,1.4,2.32,1.28,3.14,1.79,2.31,4.51,,,,,,,
July,,,1.15,3.95,1.81,0.91,0.45,2.62,3.16,3.23,2.17,0.55,1.56,,,,,,,
August,,,3.95,4.62,1.3,2.63,1.1,1.31,4.03,2.78,2.2,2.71,7.5,,,,,,,
September,,,0.75,3.39,1.5,2.87,1.89,0.66,1.84,4.39,0.47,1.19,4.1,,,,,,,
October,,1.87,2.68,7.07,2.35,3.19,5.7,6,1.97,9.12,3.82,5.9,,,,,,,,
November,,0.64,3.11,2.6,1.6,6.04,8.28,2.88,1.31,1.02,6.54,6.12,,,,,,,,
December,,6.19,2.9,2.6,4.19,1.09,2.73,3.35,4.68,6.15,4.61,7.66,,,,,,,,
Total,,,25.47,40.02,28.66,32.72,36.94,29.54,29.28,40.17,36.87,35.75,,,,,,,,
